,Name,Wins,Losses,Draws,Stance,Reach (inches),Weight (pounds),Height (inches),Significant Strikes Landed per Minute,Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (the percentage of opponents strikes that did not land),Average Takedowns Landed per 15 minutes,Takedown Accuracy,Takedown Defense (the percentage of opponents TD attempts that did not land),Average Submissions Attempted per 15 minutes
1734,Goran Reljic,15,8,0,Southpaw,81.0,205.0,75.0,1.69,0.37,2.69,0.59,1.69,0.5,0.33,1.1
1735,Paulo Renato Junior,12,3,0,Orthodox,73.0,205.0,72.0,4.89,0.45,5.18,0.56,0.0,0.0,1.0,0.0
1736,Chance Rencountre,14,4,0,Southpaw,75.0,170.0,74.0,1.1,0.2,3.62,0.49,1.35,0.26,0.16,0.3
1737,Montserrat Rendon,6,1,0,Orthodox,68.0,135.0,68.0,3.13,0.28,3.9,0.54,3.0,0.54,1.0,0.0
1738,Marion Reneau,9,8,1,Orthodox,68.0,135.0,66.0,3.2,0.41,3.52,0.59,0.62,0.63,0.5,0.8
1739,Solomon Renfro,8,2,0,Switch,72.0,170.0,69.0,5.2,0.44,3.53,0.61,2.0,0.5,1.0,0.0
1740,Marco Polo Reyes,8,7,0,Orthodox,71.0,155.0,71.0,6.0,0.37,5.52,0.59,0.0,0.0,0.46,0.0
1741,Dominick Reyes,14,4,0,Southpaw,77.0,205.0,76.0,5.64,0.54,3.59,0.49,0.31,0.28,0.82,0.3
1742,Alex Reyes,13,5,0,Orthodox,73.0,155.0,71.0,4.46,0.46,6.92,0.48,1.5,0.28,0.0,0.0
1743,Victor Reyna,11,5,0,Southpaw,74.0,170.0,71.0,5.8,0.63,4.75,0.42,0.0,0.0,1.0,0.0
1744,Mike Rhodes,10,5,0,Orthodox,74.0,170.0,73.0,3.2,0.39,4.13,0.64,0.96,0.33,0.75,0.5
1745,Amanda Ribas,12,5,0,Orthodox,66.0,115.0,63.0,4.63,0.4,3.4,0.61,2.07,0.51,0.85,0.7
1746,Claudio Ribeiro,11,5,0,Orthodox,77.0,185.0,73.0,3.59,0.51,4.9,0.3,0.56,0.5,0.66,0.0
1747,Brendson Ribeiro,16,7,0,Orthodox,81.0,205.0,75.0,3.16,0.42,3.92,0.54,1.27,0.5,0.0,0.4
1748,Esteban Ribovics,14,1,0,Orthodox,69.0,155.0,70.0,7.53,0.48,4.95,0.57,0.64,0.66,0.61,0.3
1749,Mike Ricci,11,5,0,Southpaw,76.0,155.0,72.0,1.8,0.32,1.64,0.65,0.67,1.0,0.54,0.0
1750,Tabatha Ricci,11,3,0,Orthodox,61.0,115.0,61.0,4.18,0.36,5.29,0.57,2.74,0.37,0.81,0.1
1751,Brad Riddell,10,4,0,Orthodox,71.0,155.0,67.0,4.71,0.53,3.53,0.53,1.77,0.36,0.63,0.0
1752,Matthew Riddle,8,3,0,Southpaw,76.0,170.0,73.0,3.01,0.42,2.74,0.54,3.51,0.5,0.89,0.5
1753,Joe Riggs,44,17,0,Southpaw,70.0,185.0,72.0,2.41,0.51,1.69,0.57,2.45,0.55,0.62,0.6
1754,Aaron Riley,30,14,1,Southpaw,69.0,155.0,68.0,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1
1755,Jordan Rinaldi,14,7,0,Orthodox,72.0,145.0,70.0,1.56,0.35,2.32,0.59,1.45,0.35,0.2,1.2
1756,Nick Ring,14,4,0,Southpaw,74.0,185.0,72.0,3.52,0.42,3.48,0.62,1.36,0.36,0.52,0.3
1757,Robbie Ring,6,1,0,Orthodox,68.0,145.0,69.0,5.11,0.38,9.15,0.38,4.04,0.33,0.0,0.0
1758,Mike Rio,10,5,0,Orthodox,70.0,155.0,70.0,1.68,0.39,2.99,0.53,2.58,0.27,0.0,1.0
1759,Diego Rivas,10,2,0,Orthodox,69.0,145.0,68.0,1.37,0.4,2.14,0.52,1.79,0.6,0.64,0.9
1760,Jorge Rivera,20,9,0,Orthodox,73.0,185.0,73.0,3.16,0.48,2.64,0.54,0.84,0.5,0.63,0.1
1761,Francisco Rivera,11,7,0,Orthodox,70.0,135.0,68.0,4.07,0.41,3.16,0.68,1.01,0.63,0.68,0.6
1762,Jimmie Rivera,23,5,0,Orthodox,68.0,135.0,64.0,4.03,0.4,3.9,0.6,0.88,0.27,0.92,0.1
1763,Irwin Rivera,10,6,0,Southpaw,67.0,135.0,66.0,3.36,0.44,5.07,0.57,1.0,0.16,0.7,0.0
1764,Jerome Rivera,10,6,0,Southpaw,72.0,125.0,70.0,3.21,0.33,2.6,0.51,0.0,0.0,0.4,0.0
1765,Theo Rlayang,5,1,0,Orthodox,65.0,145.0,67.0,5.93,0.48,8.4,0.4,2.0,0.4,0.0,0.0
1766,Kali Robbins,6,3,0,Orthodox,63.0,115.0,63.0,3.73,0.46,9.4,0.44,2.0,0.33,0.0,0.0
1767,Karl Roberson,9,6,0,Southpaw,74.0,205.0,73.0,2.57,0.51,2.42,0.57,0.72,0.4,0.4,0.5
1768,Daniel Roberts,15,7,0,Southpaw,74.0,170.0,70.0,0.73,0.2,2.27,0.46,2.46,0.44,0.4,2.5
1769,Danny Roberts,18,8,0,Southpaw,74.0,170.0,73.0,3.18,0.39,3.73,0.5,0.24,0.09,0.57,0.2
1770,Roosevelt Roberts,12,6,0,Orthodox,73.0,155.0,74.0,2.84,0.43,3.1,0.52,1.18,0.26,0.5,0.7
1771,Kenny Robertson,15,5,0,Orthodox,74.0,170.0,70.0,3.72,0.47,3.02,0.52,1.37,0.26,0.57,0.8
1772,Gillian Robertson,15,8,0,Orthodox,63.0,115.0,65.0,2.89,0.48,2.95,0.56,2.68,0.39,0.41,1.0
1773,Alvin Robinson,15,9,0,Southpaw,68.0,155.0,69.0,1.57,0.5,1.29,0.51,1.24,0.5,0.25,1.2
1774,Damonte Robinson,6,1,1,,77.0,155.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1775,Vagner Rocha,14,4,0,Orthodox,73.0,155.0,70.0,2.64,0.42,4.5,0.48,1.4,0.33,0.5,1.9
1776,Carlos Eduardo Rocha,9,4,0,Orthodox,73.0,170.0,70.0,1.24,0.34,1.85,0.55,0.0,0.0,0.52,1.4
1777,Lucas Rocha,17,2,0,Orthodox,64.0,125.0,63.0,2.0,0.44,4.48,0.39,0.0,0.0,0.61,0.0
1778,Luke Rockhold,16,6,0,Southpaw,77.0,185.0,75.0,4.1,0.49,2.68,0.53,0.7,0.29,0.65,1.0
1779,Gregory Rodrigues,16,5,0,Orthodox,75.0,185.0,75.0,5.52,0.56,4.69,0.51,2.74,0.41,1.0,0.4
1780,Kleydson Rodrigues,8,4,0,Orthodox,67.0,135.0,65.0,4.58,0.57,2.29,0.53,0.6,0.22,0.53,0.6
1781,Yair Rodriguez,16,5,0,Orthodox,71.0,145.0,71.0,4.65,0.46,3.99,0.52,0.69,0.27,0.58,0.7
1782,Mike Rodriguez,11,7,0,Southpaw,82.0,205.0,76.0,4.35,0.53,4.24,0.41,0.0,0.0,0.37,0.0
1783,Marina Rodriguez,17,5,2,Orthodox,65.0,115.0,66.0,4.64,0.46,3.04,0.55,0.28,0.5,0.62,0.2
1784,Daniel Rodriguez,18,5,0,Southpaw,74.0,170.0,73.0,7.5,0.49,5.47,0.58,0.59,0.54,0.57,0.1
1785,Ray Rodriguez,16,8,0,Orthodox,70.0,135.0,67.0,0.9,0.27,3.89,0.4,1.42,0.5,0.44,0.0
1786,Ronaldo Rodriguez,17,2,0,Orthodox,65.0,125.0,66.0,2.13,0.44,3.15,0.46,1.13,0.5,0.64,1.1
1787,Drako Rodriguez,7,3,0,Orthodox,69.0,135.0,68.0,3.37,0.36,4.4,0.58,2.93,0.66,0.75,0.7
1788,Victor Rodriguez,7,4,0,Switch,67.0,125.0,65.0,1.59,0.37,6.11,0.5,0.0,0.0,0.0,0.0
1789,Piera Rodriguez,10,2,0,Orthodox,63.0,115.0,63.0,3.64,0.47,2.84,0.58,3.11,0.41,0.66,0.0
1790,Christian Rodriguez,11,2,0,Orthodox,71.0,145.0,67.0,3.65,0.47,2.56,0.58,1.07,0.54,0.65,1.1
1791,Pete Rodriguez,5,2,0,Switch,71.0,170.0,69.0,9.28,0.43,12.83,0.42,0.0,0.0,1.0,0.0
1792,Marcos Rogerio de Lima,22,10,1,Orthodox,75.0,253.0,73.0,3.7,0.57,2.9,0.51,1.4,0.45,0.59,0.5
1793,Brett Rogers,17,10,0,Orthodox,81.0,265.0,77.0,3.17,0.44,3.2,0.46,0.0,0.0,0.58,0.0
1794,Max Rohskopf,5,1,0,Orthodox,71.0,155.0,73.0,1.7,0.31,5.8,0.42,3.0,0.33,0.0,1.5
1795,Marcelo Rojo,16,10,0,Orthodox,71.0,145.0,68.0,4.92,0.39,6.42,0.55,0.46,0.5,0.66,0.0
1796,Shane Roller,11,7,0,Orthodox,72.0,155.0,70.0,2.04,0.34,2.65,0.6,2.46,0.33,0.42,1.9
1797,Alexandr Romanov,18,3,0,Southpaw,75.0,262.0,74.0,3.78,0.51,2.13,0.54,4.49,0.55,0.28,0.9
1798,Ricardo Romero,11,3,0,Orthodox,76.0,205.0,72.0,2.17,0.55,4.77,0.46,1.63,0.1,1.0,3.3
1799,Yoel Romero,13,5,0,Southpaw,73.0,185.0,72.0,3.44,0.49,3.05,0.6,1.57,0.3,0.78,0.0
1800,Anthony Romero,8,0,0,Orthodox,70.0,155.0,71.0,5.87,0.52,4.0,0.65,2.0,0.22,1.0,0.0
1801,Kaleio Romero,6,2,0,Switch,69.0,145.0,70.0,2.6,0.48,3.27,0.5,1.0,0.08,0.0,1.0
1802,Roberto Romero,8,4,1,Orthodox,70.0,155.0,68.0,4.93,0.47,8.07,0.43,0.0,0.0,0.66,0.0
1803,Mara Romero Borella,12,9,0,Orthodox,69.0,125.0,66.0,2.54,0.37,2.48,0.71,1.83,0.44,0.66,0.2
1804,Cortavious Romious,9,3,0,Southpaw,68.0,135.0,64.0,2.1,0.37,3.02,0.39,1.97,0.66,0.7,1.0
1805,Juancamilo Ronderos,4,2,0,Southpaw,64.0,125.0,63.0,2.18,0.3,2.18,0.63,2.72,0.33,0.0,0.0
1806, Rongzhu,25,6,0,Orthodox,72.0,155.0,69.0,5.45,0.51,5.8,0.44,1.85,0.62,0.85,0.2
1807,Jesse Ronson,21,12,0,Southpaw,70.0,155.0,70.0,3.54,0.47,3.39,0.57,0.46,0.28,0.57,0.5
1808,George Roop,15,13,1,Orthodox,72.0,135.0,73.0,3.43,0.34,2.47,0.6,1.05,0.57,0.59,0.1
1809,Aaron Rosa,18,6,0,Orthodox,77.0,205.0,76.0,4.03,0.47,4.41,0.45,0.36,0.33,0.85,0.4
1810,Charles Rosa,14,8,0,Switch,69.0,145.0,69.0,3.08,0.36,3.86,0.47,1.67,0.35,0.38,1.0
1811,Karol Rosa,18,6,0,Orthodox,67.0,135.0,65.0,6.49,0.56,4.91,0.49,1.2,0.46,0.68,0.0
1812,Jacob Rosales,13,7,0,Orthodox,74.0,155.0,71.0,7.19,0.46,10.66,0.44,1.12,0.18,0.5,0.6
1813,Raul Rosas Jr.,10,1,0,Switch,67.0,135.0,69.0,1.55,0.43,1.43,0.51,4.02,0.39,0.0,1.3
1814,Hilarie Rose,4,2,0,Orthodox,63.0,115.0,63.0,2.33,0.33,6.13,0.44,0.0,0.0,1.0,0.0
1815,Jared Rosholt,14,4,0,Orthodox,75.0,265.0,74.0,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1
1816,Shannon Ross,13,9,0,Switch,66.0,125.0,66.0,5.96,0.39,7.39,0.55,0.0,0.0,1.0,0.0
1817,Ben Rothwell,39,14,0,Orthodox,78.0,265.0,76.0,3.71,0.42,4.63,0.47,0.68,0.34,0.7,0.4
1818,Khalil Rountree Jr.,14,6,0,Southpaw,76.0,205.0,73.0,3.73,0.38,4.51,0.48,0.0,0.0,0.58,0.1
1819,Ronda Rousey,12,2,0,Orthodox,66.0,135.0,67.0,4.17,0.52,4.14,0.44,6.26,0.68,0.5,4.8
1820,Phil Rowe,10,5,0,Orthodox,80.0,170.0,75.0,3.65,0.49,4.34,0.55,0.7,0.36,0.56,0.3
1821,Cam Rowston,8,3,0,Orthodox,78.0,185.0,74.0,2.13,0.49,1.87,0.47,0.0,0.0,0.28,1.0
1822,Brandon Royval,17,7,0,Southpaw,68.0,125.0,69.0,4.46,0.39,3.06,0.47,0.75,0.75,0.45,1.2
1823,Jairzinho Rozenstruik,15,5,0,Orthodox,78.0,242.0,74.0,3.75,0.49,2.74,0.51,0.0,0.0,0.75,0.0
1824,Mauricio Rua,27,14,1,Orthodox,76.0,205.0,73.0,3.57,0.5,2.79,0.54,2.01,0.48,0.49,0.7
1825,Mauricio Ruffy,11,1,0,Orthodox,75.0,155.0,71.0,4.7,0.59,4.76,0.6,0.0,0.0,1.0,0.0
1826,Montserrat Conejo Ruiz,10,4,0,Southpaw,61.0,115.0,60.0,0.79,0.27,4.96,0.37,2.05,0.83,0.33,0.8
1827,Mike Russow,15,3,0,Orthodox,73.0,255.0,73.0,1.55,0.47,2.9,0.59,4.66,0.43,0.0,0.7
1828,Nursulton Ruziboev,34,9,2,Orthodox,76.0,170.0,77.0,2.5,0.43,4.6,0.49,0.77,1.0,0.0,0.0
1829,Cameron Saaiman,9,2,0,Southpaw,67.0,135.0,68.0,5.32,0.46,4.18,0.51,0.91,0.28,0.47,0.7
1830,Danny Sabatello,9,1,0,Orthodox,71.0,135.0,70.0,2.07,0.57,0.2,0.25,3.0,0.75,1.0,1.0
1831,Pat Sabatini,19,5,0,Orthodox,70.0,145.0,68.0,1.94,0.59,1.47,0.48,3.97,0.44,0.5,2.0
1832,Amir Sadollah,6,5,0,Orthodox,75.0,170.0,70.0,4.71,0.46,3.55,0.6,0.57,0.27,0.6,0.3
1833,Nazim Sadykhov,9,1,1,Southpaw,69.0,155.0,70.0,4.94,0.48,5.72,0.48,1.71,0.62,0.75,0.3
1834,Frankie Saenz,13,7,0,Orthodox,66.0,135.0,66.0,3.94,0.47,3.5,0.52,1.74,0.31,0.61,0.1
1835,Saparbeg Safarov,9,3,0,Orthodox,78.0,185.0,73.0,4.03,0.48,2.96,0.47,2.52,0.41,0.33,0.0
1836,Tarec Saffiedine,16,7,0,Switch,70.0,170.0,70.0,4.05,0.47,3.06,0.62,0.52,0.36,0.84,0.1
1837,Jason Saggo,12,4,0,Orthodox,71.0,155.0,71.0,2.5,0.39,2.94,0.52,2.33,0.4,0.23,0.0
1838,Kiru Sahota,12,3,0,Orthodox,73.0,125.0,70.0,4.05,0.52,2.64,0.41,0.92,0.33,0.5,0.5
1839,Tatsuya Saika,11,5,0,Orthodox,73.0,155.0,72.0,6.67,0.44,9.91,0.43,0.0,0.0,0.66,0.0
1840,Benoit Saint Denis,13,3,0,Southpaw,73.0,155.0,71.0,5.17,0.53,4.98,0.41,3.97,0.37,0.68,1.2
1841,Ovince Saint Preux,27,18,0,Southpaw,80.0,205.0,75.0,3.03,0.47,3.33,0.47,1.09,0.36,0.67,0.5
1842,Lukasz Sajewski,13,3,0,Orthodox,71.0,155.0,68.0,2.06,0.35,3.88,0.57,1.01,0.25,0.66,0.0
1843,Augusto Sakai,16,5,1,Orthodox,77.0,265.0,75.0,4.6,0.49,3.83,0.48,0.23,0.4,0.56,0.0
1844,Alessio Sakara,19,11,0,Orthodox,72.0,185.0,72.0,3.96,0.47,2.8,0.59,2.18,0.78,0.62,0.0
1845,Gokhan Saki,1,2,0,Orthodox,73.0,205.0,72.0,7.09,0.58,4.57,0.53,0.0,0.0,1.0,0.0
1846,Justin Salas,12,7,0,Southpaw,70.0,155.0,68.0,3.42,0.43,2.96,0.68,2.43,0.2,0.0,0.0
1847,Luis Saldana,16,7,1,Orthodox,73.0,145.0,71.0,5.16,0.5,3.65,0.6,0.64,0.17,0.44,0.2
1848,Muslim Salikhov,21,5,0,Orthodox,70.0,170.0,71.0,3.38,0.49,2.9,0.62,1.08,0.32,0.72,0.0
1849,Quillan Salkilld,7,1,0,Orthodox,75.0,155.0,72.0,5.4,0.55,4.27,0.43,9.0,0.4,1.0,1.0
1850,Boston Salmon,6,3,0,Southpaw,69.0,135.0,69.0,4.13,0.37,7.75,0.59,0.0,0.0,1.0,0.0
1851,John Salter,14,3,0,Southpaw,74.0,185.0,73.0,1.68,0.32,1.68,0.68,2.85,0.46,0.66,0.5
1852,Vinicius Salvador,14,7,0,Southpaw,70.0,135.0,67.0,5.48,0.43,6.5,0.48,0.36,0.11,0.86,0.0
1853,Dylan Salvador,5,2,0,Southpaw,69.0,155.0,69.0,4.34,0.37,11.57,0.46,0.0,0.0,0.0,0.0
1854,Josh Samman,13,4,0,Orthodox,79.0,185.0,75.0,2.08,0.52,2.47,0.34,1.09,0.33,0.33,0.4
1855,Josh Sampo,11,5,0,Orthodox,64.0,125.0,64.0,1.99,0.36,2.96,0.55,1.06,0.33,0.4,2.1
1856,Diego Sanchez,31,13,0,Southpaw,72.0,170.0,70.0,2.69,0.37,3.02,0.56,1.51,0.24,0.46,0.8
1857,Eddie Sanchez,15,8,0,Orthodox,74.0,230.0,74.0,3.45,0.43,3.3,0.43,1.13,0.26,0.42,0.0
1858,Joby Sanchez,11,4,0,Orthodox,68.0,135.0,66.0,3.22,0.36,2.82,0.63,0.95,0.71,0.51,0.4
1859,Emmanuel Sanchez,15,3,0,,71.0,145.0,69.0,4.45,0.35,4.17,0.55,0.25,0.06,0.16,0.5
1860,Andrew Sanchez,13,7,0,Orthodox,74.0,185.0,73.0,4.3,0.43,5.1,0.5,2.55,0.36,1.0,0.0
1861,Robert Sanchez,8,2,0,Orthodox,66.0,125.0,66.0,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7
1862,Luke Sanders,13,5,0,Southpaw,67.0,135.0,66.0,6.61,0.52,4.37,0.5,0.71,0.3,0.72,0.2
1863,Jerrod Sanders,16,3,0,Orthodox,72.0,135.0,68.0,0.88,0.64,1.14,0.46,2.2,0.33,0.5,1.6
1864,Cory Sandhagen,17,5,0,Switch,70.0,135.0,71.0,5.02,0.44,3.46,0.56,1.19,0.32,0.63,0.3
1865,Hector Sandoval,14,4,0,Orthodox,64.0,125.0,62.0,3.31,0.52,2.33,0.65,3.49,0.25,0.71,1.4
1866,Martin Sano,4,3,1,Orthodox,75.0,170.0,71.0,4.0,0.33,12.0,0.4,0.0,0.0,0.0,0.0
1867,Duda Santana,3,1,0,Orthodox,73.0,145.0,67.0,6.01,0.39,2.72,0.73,6.44,0.6,0.0,0.0
1868,Shaheen Santana,6,1,0,Orthodox,75.0,155.0,73.0,0.82,0.42,1.65,0.4,0.0,0.0,0.0,2.8
1869,Jorge Santiago,25,12,0,Orthodox,75.0,170.0,73.0,1.69,0.35,2.62,0.56,0.58,0.3,0.52,0.8
1870,Mike Santiago,19,12,0,Orthodox,69.0,145.0,70.0,3.44,0.49,3.58,0.36,2.66,0.5,0.53,1.1
1871,Richie Santiago,7,2,0,Southpaw,67.0,135.0,67.0,3.87,0.49,4.87,0.42,0.0,0.0,0.25,0.0
1872,Evangelista Santos,21,18,0,Orthodox,76.0,170.0,70.0,3.94,0.36,6.01,0.49,0.78,1.0,0.5,0.4
1873,Iliarde Santos,30,13,1,Orthodox,67.0,125.0,65.0,3.0,0.3,6.1,0.57,1.66,0.23,0.83,0.0
1874,Leonardo Santos,18,7,1,Orthodox,75.0,155.0,72.0,2.82,0.46,3.4,0.54,0.88,0.25,0.86,0.2
1875,Thiago Santos,22,11,0,Orthodox,76.0,205.0,74.0,3.72,0.48,2.57,0.53,0.88,0.33,0.65,0.1
1876,Yana Santos,15,8,0,Orthodox,68.0,135.0,66.0,4.42,0.58,3.12,0.5,0.97,0.53,0.42,0.1
1877,Taila Santos,19,3,0,Orthodox,68.0,125.0,66.0,3.39,0.48,2.64,0.58,2.0,0.76,0.86,1.1
1878,Edivan Santos,12,3,1,Orthodox,78.0,248.0,76.0,1.55,0.48,7.09,0.26,0.0,0.0,0.25,0.0
1879,Daniel Santos,12,2,0,Orthodox,67.0,135.0,67.0,4.26,0.37,5.12,0.5,1.9,0.5,0.73,0.0
1880,Gabriel Santos,11,2,0,Orthodox,70.0,145.0,69.0,4.69,0.59,4.77,0.47,3.44,0.52,0.85,0.8
1881,Luana Santos,8,2,0,Orthodox,67.0,125.0,66.0,4.28,0.51,4.15,0.61,1.62,0.4,0.8,1.2
1882,Djorden Santos,10,1,0,Orthodox,75.0,185.0,72.0,5.67,0.55,2.73,0.52,1.0,0.5,0.86,0.0
1883,Mairon Santos,15,1,0,Orthodox,72.0,145.0,67.0,4.77,0.46,1.85,0.57,0.0,0.0,0.0,0.0
1884,Daniel Sarafian,10,6,0,Orthodox,73.0,185.0,69.0,2.23,0.46,3.1,0.58,0.36,0.07,0.53,0.7
1885,Jeka Saragih,14,4,0,Orthodox,69.0,145.0,68.0,2.73,0.5,2.65,0.41,2.21,0.8,0.66,0.6
1886,Yuta Sasaki,21,6,2,Southpaw,71.0,125.0,70.0,2.16,0.41,2.5,0.5,3.03,0.43,0.41,1.2
1887,Paul Sass,14,2,0,Orthodox,73.0,155.0,72.0,0.53,0.26,1.9,0.51,0.53,0.16,0.33,7.4
1888,Keisuke Sasu,11,3,1,Switch,69.0,145.0,65.0,2.76,0.49,2.42,0.48,3.76,0.4,0.61,1.9
1889,Takashi Sato,16,7,0,Southpaw,73.0,170.0,70.0,2.21,0.41,3.73,0.44,0.76,0.37,0.6,0.0
1890,Ben Saunders,22,13,2,Orthodox,77.0,170.0,74.0,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3
1891,Christien Savoie,10,2,1,Orthodox,72.0,170.0,71.0,1.39,0.45,6.95,0.23,0.0,0.0,0.12,0.0
1892,Matt Sayles,8,4,0,Orthodox,68.0,155.0,67.0,4.83,0.41,2.81,0.61,0.36,0.16,0.81,0.7
1893,Mikheil Sazhiniani,13,3,0,Orthodox,71.0,205.0,72.0,2.27,0.28,3.03,0.52,0.0,0.0,1.0,0.0
1894,Eric Schafer,14,8,2,Orthodox,76.0,185.0,75.0,1.89,0.34,3.38,0.56,1.81,0.36,0.5,1.8
1895,Brendan Schaub,10,5,0,Orthodox,78.0,245.0,76.0,2.92,0.37,2.22,0.57,2.32,0.46,0.72,0.4
1896,Matheus Scheffel,14,7,0,Orthodox,75.0,205.0,74.0,1.33,0.36,3.0,0.47,0.0,0.0,1.0,0.0
1897,Matt Schnell,16,9,0,Orthodox,70.0,125.0,68.0,4.39,0.39,4.64,0.55,0.56,0.4,0.5,1.0
1898,Bailey Schoenfelder,5,1,0,Orthodox,76.0,265.0,75.0,0.0,0.0,9.86,0.53,0.0,0.0,0.0,0.0
1899,Wes Schultz,6,2,0,Orthodox,77.0,185.0,74.0,5.16,0.45,5.38,0.46,3.36,0.25,0.0,0.0
1900,Justin Scoggins,11,5,0,Southpaw,66.0,125.0,67.0,3.56,0.51,2.16,0.55,3.42,0.63,0.82,0.5
1901,Brad Scott,11,6,0,Orthodox,76.0,170.0,73.0,3.52,0.41,4.31,0.57,0.32,0.15,0.63,0.7
1902,Zachary Scroggin,7,1,0,Orthodox,74.0,170.0,75.0,2.4,0.37,8.8,0.68,0.0,0.0,0.0,0.0
1903,Neil Seery,16,13,0,Orthodox,64.0,125.0,64.0,3.56,0.41,3.79,0.58,0.78,0.27,0.53,1.6
1904,Stefan Sekulic,12,4,0,Southpaw,75.0,170.0,72.0,1.83,0.5,2.83,0.64,2.0,0.33,0.25,0.5
1905,Pete Sell,10,7,0,Orthodox,75.0,170.0,71.0,2.6,0.42,3.65,0.51,0.91,0.21,0.47,0.9
1906,Matthew Semelsberger,11,8,0,Switch,75.0,170.0,73.0,3.77,0.42,4.24,0.54,1.01,0.57,0.45,0.4
1907,Mackens Semerzier,8,4,0,Orthodox,72.0,145.0,69.0,2.91,0.45,3.48,0.46,2.14,0.5,0.5,2.1
1908,YeDam Seo,7,4,0,Orthodox,63.0,115.0,63.0,1.07,0.27,2.4,0.58,0.5,0.2,0.42,0.0
1909,Alex Serdyukov,8,5,0,Orthodox,74.0,170.0,74.0,4.94,0.48,3.1,0.46,1.84,0.55,0.67,1.8
1910,Matt Serra,11,7,0,Orthodox,68.0,170.0,66.0,1.98,0.39,2.64,0.46,2.05,0.2,0.38,0.9
1911,Fredy Serrano,3,2,0,Orthodox,65.0,125.0,63.0,1.58,0.26,1.89,0.61,2.84,0.25,0.84,0.0
1912,Igor Severino,8,1,0,Orthodox,69.0,125.0,67.0,7.17,0.52,4.33,0.47,9.69,0.71,0.5,0.0
1913,Edmen Shahbazyan,13,5,0,Orthodox,75.0,185.0,75.0,3.77,0.5,3.9,0.46,2.01,0.38,0.65,0.5
1914,Leon Shahbazyan,7,2,0,Orthodox,74.0,170.0,76.0,6.33,0.52,8.18,0.32,1.46,0.5,0.0,0.0
1915,Don Shainis,12,5,0,Orthodox,67.0,145.0,66.0,3.42,0.5,5.87,0.31,0.97,0.25,0.2,1.9
1916,Liliya Shakirova,8,2,0,Orthodox,65.0,125.0,64.0,2.7,0.3,2.58,0.74,0.0,0.0,0.0,0.0
1917,Kamal Shalorus,9,5,2,Orthodox,68.0,155.0,68.0,3.06,0.32,2.99,0.7,2.07,0.5,0.8,0.0
1918,Ken Shamrock,28,17,2,Orthodox,72.0,205.0,73.0,1.47,0.46,4.3,0.39,0.94,0.6,0.44,2.5
1919,Shang Zhifa,32,8,0,Orthodox,63.0,125.0,67.0,1.27,0.32,1.27,0.6,2.0,1.0,0.0,0.0
1920,Sean Sharaf,4,1,0,Orthodox,77.0,252.0,75.0,7.31,0.44,9.79,0.44,2.07,0.12,0.0,0.0
1921,Priya Sharma,5,2,0,Orthodox,59.0,115.0,61.0,1.33,0.16,3.2,0.4,0.0,0.0,0.55,0.0
1922,Eric Shelton,12,6,0,Orthodox,68.0,125.0,66.0,2.57,0.42,1.88,0.63,2.83,0.51,0.46,0.2
1923,Sean Sherk,36,4,1,Orthodox,67.0,155.0,66.0,2.17,0.35,2.71,0.55,4.09,0.46,0.56,0.4
1924,Chase Sherman,16,12,0,Orthodox,78.0,250.0,76.0,6.04,0.45,6.65,0.52,0.09,0.5,0.74,0.0
1925,Valentina Shevchenko,24,4,1,Southpaw,66.0,125.0,65.0,3.16,0.52,2.0,0.64,2.74,0.64,0.71,0.3
1926,Antonina Shevchenko,10,4,0,Southpaw,67.0,125.0,68.0,3.86,0.55,2.93,0.52,0.43,0.42,0.53,0.4
1927,Shi Ming,17,5,0,Orthodox,60.0,115.0,62.0,3.48,0.39,3.24,0.53,0.37,0.16,0.58,0.0
1928,Jake Shields,31,9,1,Orthodox,72.0,170.0,72.0,2.45,0.36,1.8,0.56,2.83,0.29,0.35,1.2
1929,Henrique Shiguemoto,13,4,1,Orthodox,72.0,185.0,71.0,3.6,0.33,6.0,0.16,0.0,0.0,0.5,0.0
1930,Liudvik Sholinian,9,4,1,Orthodox,71.0,135.0,70.0,2.5,0.3,5.67,0.55,0.0,0.0,0.66,0.0
1931,Jack Shore,17,3,0,Orthodox,71.0,145.0,68.0,3.6,0.58,2.31,0.56,3.22,0.39,0.74,0.6
1932,Ivan Shtyrkov,15,0,1,Orthodox,74.0,205.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1933,Ronal Siahaan,7,1,0,Southpaw,71.0,125.0,67.0,0.63,0.66,6.17,0.25,0.0,0.0,0.25,0.0
1934,Sam Sicilia,15,8,0,Orthodox,67.0,145.0,68.0,2.46,0.33,3.55,0.59,1.45,0.43,0.7,0.9
1935,Serhiy Sidey,11,2,0,Switch,72.0,135.0,71.0,4.87,0.39,4.44,0.53,0.0,0.0,0.2,1.4
1936,Steven Siler,29,16,0,Orthodox,70.0,145.0,71.0,3.21,0.41,2.96,0.54,0.47,0.21,0.55,1.6
